"","datef","metric","percent"
"116",2009-10-01,"MoM_perc_change",0.67
"117",2009-11-01,"YoY_perc_change",2.17
"118",2009-11-01,"MoM_perc_change",0.34
"119",2009-12-01,"YoY_perc_change",4.43
"120",2009-12-01,"MoM_perc_change",0.66
"121",2010-01-01,"YoY_perc_change",6.51
"122",2010-01-01,"MoM_perc_change",-0.36
"123",2010-02-01,"YoY_perc_change",8.02
"124",2010-02-01,"MoM_perc_change",0.25
"125",2010-03-01,"YoY_perc_change",8.69
"126",2010-03-01,"MoM_perc_change",-0.01
"127",2010-04-01,"YoY_perc_change",9.1
"128",2010-04-01,"MoM_perc_change",1.28
"129",2010-05-01,"YoY_perc_change",8.13
"130",2010-05-01,"MoM_perc_change",0.48
"131",2010-06-01,"YoY_perc_change",7.6
"132",2010-06-01,"MoM_perc_change",0.49
"133",2010-07-01,"YoY_perc_change",6.77
"134",2010-07-01,"MoM_perc_change",1.01
"135",2010-08-01,"YoY_perc_change",5.73
"136",2010-08-01,"MoM_perc_change",-0.01
"137",2010-09-01,"YoY_perc_change",4.63
"138",2010-09-01,"MoM_perc_change",-0.26
"139",2010-10-01,"YoY_perc_change",2.78
"140",2010-10-01,"MoM_perc_change",-1.11
"141",2010-11-01,"YoY_perc_change",1.21
"142",2010-11-01,"MoM_perc_change",-1.19
"143",2010-12-01,"YoY_perc_change",0.37
"144",2010-12-01,"MoM_perc_change",-0.18
"145",2011-01-01,"YoY_perc_change",-0.1
"146",2011-01-01,"MoM_perc_change",-0.83
"147",2011-02-01,"YoY_perc_change",-0.88
"148",2011-02-01,"MoM_perc_change",-0.53
"149",2011-03-01,"YoY_perc_change",-1.33
"150",2011-03-01,"MoM_perc_change",-0.46
"151",2011-04-01,"YoY_perc_change",-1.06
"152",2011-04-01,"MoM_perc_change",1.55
"153",2011-05-01,"YoY_perc_change",-1.98
"154",2011-05-01,"MoM_perc_change",-0.44
"155",2011-06-01,"YoY_perc_change",-2.29
"156",2011-06-01,"MoM_perc_change",0.17
"157",2011-07-01,"YoY_perc_change",-2.05
"158",2011-07-01,"MoM_perc_change",1.26
"159",2011-08-01,"YoY_perc_change",-1.99
"160",2011-08-01,"MoM_perc_change",0.06
"161",2011-09-01,"YoY_perc_change",-1.98
"162",2011-09-01,"MoM_perc_change",-0.25
"163",2011-10-01,"YoY_perc_change",-1.97
"164",2011-10-01,"MoM_perc_change",-1.1
"165",2011-11-01,"YoY_perc_change",-0.74
"166",2011-11-01,"MoM_perc_change",0.05
"167",2011-12-01,"YoY_perc_change",-0.98
"168",2011-12-01,"MoM_perc_change",-0.42
"169",2012-01-01,"YoY_perc_change",-0.83
"170",2012-01-01,"MoM_perc_change",-0.68
"171",2012-02-01,"YoY_perc_change",-0.58
"172",2012-02-01,"MoM_perc_change",-0.27
"173",2012-03-01,"YoY_perc_change",0.18
"174",2012-03-01,"MoM_perc_change",0.3
"175",2012-04-01,"YoY_perc_change",-0.22
"176",2012-04-01,"MoM_perc_change",1.15
"177",2012-05-01,"YoY_perc_change",0.55
"178",2012-05-01,"MoM_perc_change",0.32
"179",2012-06-01,"YoY_perc_change",1.37
"180",2012-06-01,"MoM_perc_change",0.98
"181",2012-07-01,"YoY_perc_change",0.49
"182",2012-07-01,"MoM_perc_change",0.38
"183",2012-08-01,"YoY_perc_change",0.55
"184",2012-08-01,"MoM_perc_change",0.12
"185",2012-09-01,"YoY_perc_change",0.44
"186",2012-09-01,"MoM_perc_change",-0.36
"187",2012-10-01,"YoY_perc_change",0.85
"188",2012-10-01,"MoM_perc_change",-0.71
"189",2012-11-01,"YoY_perc_change",0.88
"190",2012-11-01,"MoM_perc_change",0.08
"191",2012-12-01,"YoY_perc_change",1.07
"192",2012-12-01,"MoM_perc_change",-0.23
"193",2013-01-01,"YoY_perc_change",1.09
"194",2013-01-01,"MoM_perc_change",-0.67
"195",2013-02-01,"YoY_perc_change",1.34
"196",2013-02-01,"MoM_perc_change",-0.02
"197",2013-03-01,"YoY_perc_change",1.65
"198",2013-03-01,"MoM_perc_change",0.6
"199",2013-04-01,"YoY_perc_change",1.48
"200",2013-04-01,"MoM_perc_change",0.98
"201",2013-05-01,"YoY_perc_change",1.69
"202",2013-05-01,"MoM_perc_change",0.53
"203",2013-06-01,"YoY_perc_change",1.53
"204",2013-06-01,"MoM_perc_change",0.83
"205",2013-07-01,"YoY_perc_change",2.28
"206",2013-07-01,"MoM_perc_change",1.12
"207",2013-08-01,"YoY_perc_change",2.97
"208",2013-08-01,"MoM_perc_change",0.8
"209",2013-09-01,"YoY_perc_change",3.41
"210",2013-09-01,"MoM_perc_change",0.07
"211",2013-10-01,"YoY_perc_change",3.72
"212",2013-10-01,"MoM_perc_change",-0.41
"213",2013-11-01,"YoY_perc_change",4.21
"214",2013-11-01,"MoM_perc_change",0.56
"215",2013-12-01,"YoY_perc_change",5.41
"216",2013-12-01,"MoM_perc_change",0.92
"217",2014-01-01,"YoY_perc_change",6.24
"218",2014-01-01,"MoM_perc_change",0.12
"219",2014-02-01,"YoY_perc_change",6.7
"220",2014-02-01,"MoM_perc_change",0.41
"221",2014-03-01,"YoY_perc_change",6.44
"222",2014-03-01,"MoM_perc_change",0.34
"223",2014-04-01,"YoY_perc_change",7.75
"224",2014-04-01,"MoM_perc_change",2.23
"225",2014-05-01,"YoY_perc_change",8.32
"226",2014-05-01,"MoM_perc_change",1.06
"227",2014-06-01,"YoY_perc_change",8.35
"228",2014-06-01,"MoM_perc_change",0.86
"229",2014-07-01,"YoY_perc_change",8.66
"230",2014-07-01,"MoM_perc_change",1.41
"231",2014-08-01,"YoY_perc_change",9.06
"232",2014-08-01,"MoM_perc_change",1.17
"233",2014-09-01,"YoY_perc_change",9.11
"234",2014-09-01,"MoM_perc_change",0.11
